"CNT","Mean_MATH_2018","Mean_READ_2018","Mean_SCIE_2018","SD_MATH_2018","SD_READ_2018","SD_SCIE_2018","Mean_MATH_2022","Mean_READ_2022","Mean_SCIE_2022","SD_MATH_2022","SD_READ_2022","SD_SCIE_2022","Country","Region 3","Distance learning modalities (Global)","closure_large_count","closure_restricted_count","income_status","Radio","TV","Online"
"ALB",437.221991161354,405.429366278381,416.726257580123,83.1113444731537,80.2753465389642,74.0691222765502,368.221,358.436,375.969,84.895,80.087,82.563,"Albania","WB: Upper middle income","TV + Online + Radio",201,79,0,1,1,1
"ARE",434.947251865332,431.78176943113,433.636802667478,105.661844443053,113.321065752279,103.175878565947,431.111,417.348,431.98,101.354,125.206,109.877,"United Arab Emirates","WB: High income","Online",463,125,1,0,0,1
"ARG",379.453816602924,401.503108807312,404.071444821688,84.0446221640547,97.7945195956741,89.5897227176805,377.528,400.744,406.191,74.424,92.263,85.688,"Argentina","WB: Upper middle income","TV + Online + Radio",575,157,0,1,1,1
"AUS",491.360025242632,502.631724422653,502.964562882432,92.1972711306066,108.659939340292,100.680802011746,487.084,498.051,507.001,99.257,110.934,108.934,"Australia","WB: High income","Online + TV",321,0,1,0,1,1
"AUT",498.942313799595,484.392568512,489.780439531411,93.4973622609776,99.384330610548,95.5889092248092,487.266,480.405,491.27,93.581,104.134,101.114,"Austria","WB: High income","Online + TV",273,108,1,0,1,1
"BEL",508.07030635647,492.864438603841,498.773127239219,95.3665900337465,102.575054571555,98.8097222902676,489.487,478.851,490.578,96.333,104.799,100.98,"Belgium","WB: High income","Online + TV",202,61,1,0,1,1
"BGR",436.040570997321,419.84400596425,424.073582875218,97.4287104923499,101.416942019489,94.6358352845336,417.304,404.303,420.993,96.753,107.436,94.584,"Bulgaria","WB: Upper middle income","Online + TV",335,124,0,0,1,1
"BRA",383.569124106179,412.873316685248,403.620942039238,87.5356363162052,99.6409555167722,90.3114323390479,378.692,410.357,403.002,76.619,100.015,94.08,"Brazil","WB: Upper middle income","Online + TV",555,267,0,0,1,1
"BRN",430.112962267378,408.069944019337,430.984376616661,91.3872578633308,97.4391488570448,95.8938001060816,442.092,429.231,445.855,83.726,99.325,93.63,"Brunei Darussalam","WB: High income","Online + TV",260,170,1,0,1,1
"CAN",512.016942823931,520.08552092652,517.997660755668,92.2934312680944,100.297051343061,95.7210357471647,496.949,507.132,515.018,94.004,108.721,100.571,"Canada","WB: High income","Online + TV",362,92,1,0,1,1
"CHE",515.314713126143,483.929405145339,495.276287968577,94.3263496447637,102.712464245881,96.8058147997865,507.991,483.333,502.524,96.03,104.965,99.466,"Switzerland","WB: High income","Online",45,41,1,0,0,1
"CHL",417.406556233567,452.272554091984,443.582563387669,84.6226197281635,92.0177418929711,83.4840759247256,411.698,447.979,443.543,76.631,93.273,91.82,"Chile","WB: High income","TV + Online + Radio",486,95,1,1,1,1
"COL",390.932273740349,412.295085675566,413.322992973879,81.2003988343407,88.6660597356633,81.9897602077947,382.697,408.665,411.12,72.822,93.248,86.832,"Colombia","WB: Upper middle income","TV + Online + Radio",540,161,0,1,1,1
